Regional,Ano,Mês,Data,Ocorrência,Solicitação,Endereço,Bairro,Localidade,mE,mN,Grau de Risco,Data da Ação,Tipo da Ação,Observação
Planície,2014,Março,20/3/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Guarulhos,Jd. São Paulo,,286426,9105602,R1,20/3/2014,Mapeamento de Área de Risco,
Planície,2014,Março,20/3/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Guarulhos,Jd. São Paulo,,286486,9105514,R1,20/3/2014,Mapeamento de Área de Risco,
Planície,2014,Março,20/3/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Guarulhos,Jd. São Paulo,,286485,9105520,R1,20/3/2014,Mapeamento de Área de Risco,
Planície,2014,Março,20/3/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Guarulhos,Jd. São Paulo,,286059,9105968,R1,20/3/2014,Mapeamento de Área de Risco,
Planície,2014,Março,20/3/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Guarulhos,Jd. São Paulo,,285960,9106158,R1,20/3/2014,Mapeamento de Área de Risco,
Planície,2014,Março,20/3/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Guarulhos,Jd. São Paulo,,285908,9106363,R1,20/3/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,1/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Leila Félix Karan, Por trás da Emprel - Canal Da Chesf",San Martin,,286548,9107846,R1,1/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,1/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Edvaldo Custódio, Próximo Ao 189 - Na Ponte Canal da Chesf",San Martin,,286691,9108036,R1,1/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,1/4/2014,Imóveis Alagados,Monitoramento Alagado,Na Estação de Tratamento da Compesa Próximo Ao Yoki Entrada da Chesf,San Martin,,287118,9108250,R1,1/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,1/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Flávio Ferreira da Silva Na Frente da Emprel Br Canal São Leopoldo,San Martin,,286397,9107670,R1,1/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,1/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Cel Mizael de Mendonça Em Frente Ao Numero 1404 Comunidade Vila Arraes Canal 21 de Abril,San Martin,,286486,9107432,R1,1/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,1/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua 21 de Abril, Em Frente Ao Numero 3275 Canal 21 de Abril",San Martin,,286833,9107568,R1,1/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,1/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua 21 de Abril Próximo Ao Numero 2828 Canal 21 de Abril,San Martin,,287376,9107376,R1,1/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,3/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Dr. Guimarães Na Frente do 223 Comunidade Cabeça de Vaca Canal Leopoldo Rio Jiquiá,San Martin,,287077,9106588,R1,3/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,3/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua José Gomes de Moura Na Ponte do Rio Jiquiá Comunidade Cabeça de Vaca,Estância,,286910,9106568,R1,3/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,3/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Laura Bandeira de Melo Com José Gomes de Moura - Canal do Jiquiá,Estância,,286909,9106496,R1,3/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,3/4/2014,Imóveis Alagados,Monitoramento Alagado,No Campo Em Frente A Casa 202 A Cabeça de Vaca,San Martin,,286852,9106628,R1,3/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,3/4/2014,Imóveis Alagados,Monitoramento Alagado,Comunidade do Caxito Próximo A Casa de Maria Lucia Canal da Marinha,San Martin,,287136,9106770,R1,3/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,3/4/2014,Imóveis Alagados,Monitoramento Alagado,No Final do Canal Próximo Ao Muro da Receita Federal,San Martin,,286994,9106928,R1,3/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,3/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Antônio Fernandes de Matos Br Lado Contrário da Comunidade Inferninho - Canal Jd. São Paulo,Jd. São Paulo,,286287,9106914,R1,3/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,7/4/2014,Imóveis Alagados,Vistoria Setor Alagado,Rua Nelson de Sena,Curado,,282638,9106518,R1,7/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,7/4/2014,Imóveis Alagados,Vistoria Setor Alagado,Rua Maria Augusanta,Curado,,282695,9106378,R1,7/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,8/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Cel Fernandes Machado, Próximo Ao Numero 468 Inferninho Ii Canal Jd. São Paulo",Jd. São Paulo,,286440,9106980,R1,8/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,8/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua José Tavares de Holanda Com Rua Gomes Bezerra Cavalcante Próximo Ao 03 Inferninho Ii Canal Jd. São Paulo,Jd. São Paulo,,286341,9107038,R1,8/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,8/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua José Tavares de Holanda No Início da Rua Inferninho Ii Canal Jd. São Paulo,Jd. São Paulo,,286263,9107198,R1,8/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,8/4/2014,Imóveis Alagados,Monitoramento Alagado,Na Margem da Br Próximo Ao Atacadão Inferninho Ii Canal Jd. São Paulo,Jd. São Paulo,,286021,9106880,R1,8/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,8/4/2014,Imóveis Alagados,Monitoramento Alagado,Ra João Alves Carneiro Rio Jiquiá Canal de Jd. São Paulo - Comunidade Baixa,Jd. São Paulo,,286205,9106702,R1,8/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,8/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua José Tavares de Holanda Comunidade Inferninho Ii Canal Jd. São Paulo,Jd. São Paulo,,286503,9106728,R1,8/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,8/4/2014,Imóveis Alagados,Monitoramento Alagado,Encontro do Canal Jd. São Paulo Com O Rio Jiquiá Em Frenet Ao Atacadão Na Br Comunidade Inferninho Ii,Jd. São Paulo,,286354,9106764,R1,8/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,8/4/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Sambra Prox. Ao Posto Total Saida da Av. Recife Rua Nossa Sra. de Fátima,Jd. São Paulo,,286884,9106020,R1,8/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,Itamirim - Canal Rodomai No Final Próximo Ao Canal de Guarulhos,Jd. São Paulo,,285981,8106030,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,"Itamirim Próximo Ao Numero 78 E 79 Alagamento 1,5 Metros Canal Rodomai",Jd. São Paulo,,285899,9106000,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,"Alexandrita Canal Rodomaia Próximo Ao Imovel 131 Alagamento 1,2 Metros",Jd. São Paulo,,285663,9105606,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,Itamirim Com A Rua Italaci Canal Rodomaia,Jd. São Paulo,,285844,9105956,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,Alexandrita Canal Rodomaia,Jd. São Paulo,,285709,9105536,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Diniz Canal Rodomaia,Jd. São Paulo,,,,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Bueno Brandão Canal Rodomaia,Jd. São Paulo,,,,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Guaratinga Canal Rodomaia,Jd. São Paulo,,,,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Pedra Azul Cabal Rodomaia,Jd. São Paulo,,,,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Real Canal Rodomaia,Jd. São Paulo,,,,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Realeza Canal Rodomaia,Jd. São Paulo,,,,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,10/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Jericó Canal Rodomaia,Jd. São Paulo,,,,R1,10/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,15/4/2014,Imóveis Alagados,Monitoramento Alagado,Av. Dom Helder,Ibura de Baixo,,286576,9104296,R1,15/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,15/4/2014,Imóveis Alagados,Monitoramento Alagado,Av. Dois Rios,Ibura de Baixo,,286547,9103034,R1,15/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,15/4/2014,Imóveis Alagados,Monitoramento Alagado,Av. Dois Rios,Ibura de Baixo,,286598,9102988,R1,15/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,15/4/2014,Imóveis Alagados,Monitoramento Alagado,Av. Dois Rios,Ibura de Baixo,,286281,9102560,R1,15/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,15/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Santa Leopoldina,Ibura de Baixo,,286288,9102556,R1,15/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,15/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Flores da Cunha,Ibura de Baixo,,286723,9101830,R1,15/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,15/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Rio do Prata,Ibura de Baixo,,286479,9102106,R1,15/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,16/4/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Iraque 1a Trav. Principie da Beira Com Rua Antônio Carneiro,Estância,,287849,9105192,R1,16/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,16/4/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Iraque 1a Trav. Príncipe da Beira Com Rua Eliseu Cesar No Meio,Estância,,288076,9105025,R1,16/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,16/4/2014,Imóveis Alagados,Monitoramento Alagado,Canal do Iraque 1a Trav. Príncipe da Beira Em Frente Ao Numero 104 E 20 Comunidade do Iraque,Estância,,288209,9105008,R1,16/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,16/4/2014,Imóveis Alagados,Monitoramento Alagado,Canal Das Laranjeiras Rua Rio Solimões Comunidade Jd. Uchoa,Areias,,286583,9104409,R1,16/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,16/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Das Laranjeiras Com A Oiapoque E Rua Joana Darc Comunidade Jd. Uchoa,Areias,,286589,9104237,R1,16/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,22/4/2014,Alagamentos,Monitoramento Alagado,Canal do Guarulhos,Jd. São Paulo,,,,R1,22/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,22/4/2014,Alagamentos,Monitoramento Alagado,Canal Santa Rosa,Barro,,,,R1,22/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,22/4/2014,Alagamentos,Monitoramento Alagado,"Rua Rio Morno, 114",Guabiraba,,,,R1,22/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,22/4/2014,Alagamentos,Monitoramento Alagado,"Rua Rio Morno, 25",Guabiraba,,,,R1,22/4/2014,Mapeamento de Área de Risco,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 222 B",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 222 D",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 222 C",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 162",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 222 A",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 161 A",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua dos Craveiros, 36",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua dos Craveiros, 37",,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 221",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 160,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 465,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Manoel Brandão, 14",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Manoel Brandão, 138",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 02",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 127,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 170",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 230,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 120,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua dos Craveiros, 138",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 162",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 465 A",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Manoel Brandão 16 A,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Manoel Brandão 16 B,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Maria Cristina Tacio de Souza, 423",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Alice Tibirici de Sá, 250",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 227 B,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 140,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 130,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua dos Craveiros, 138 C",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 208",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 354,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 208 A,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 14",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 208 B,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 216",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 141",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Beira, S/N",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Beira Rio, 68",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Maria Cristina Tácio de Souza, S/N",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,Rua Nádia 250,Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Manoel Brandão, 15",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 294",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua dos Craveiros, 136a",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua dos Craveiros, 228",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 150",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 225",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 220",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
Planície,2014,Abril,30/4/2014,Imóveis Alagados,Monitoramento Alagado,"Rua Nádia, 358",Campina do Barreto,,,,R1,30/4/2014,Atendimento Social,
